Fr,Idx,X,Y,Z,Intensity,R,Altitude,Azimuth,Label,GT,Target Reflectivity
3,2660,7.476697922,6.544239998,0.274766356,1.199999928,9.939998627,1.583999926,41.19516562,Target 1-1,10,3.00%
3,2664,7.474110603,6.541975021,0.379234463,1.24000001,9.939998627,2.186500061,41.19516416,Target 1-1,10,3.00%
3,2667,7.487858772,6.547683239,0.511284113,1.24000001,9.960000038,2.942500354,41.16774779,Target 1-1,10,3.00%
3,2669,7.603612423,6.64890337,0.625744402,2.799999952,10.11999989,3.544999931,41.16774996,Target 1-1,10,3.00%
3,2671,7.643292427,6.683600903,0.736172974,2.75999999,10.17999935,4.146999651,41.16774888,Target 1-1,10,3.00%
3,2673,7.637047768,6.67814064,0.842810452,2.75999999,10.17999935,4.749000015,41.16775024,Target 1-1,10,3.00%
3,2675,7.483580589,6.505377293,-0.823768616,1.279999971,9.950000763,-4.748999921,40.99999972,Target 1-1,10,3.00%
3,2677,7.467117786,6.491065979,-0.717370927,1.319999933,9.920000076,-4.146999405,40.99999789,Target 1-1,10,3.00%
3,2678,7.47239399,6.495653152,-0.613377929,1.319999933,9.92000103,-3.544999664,41.00000069,Target 1-1,10,3.00%
3,2679,7.46931076,6.492972374,-0.508717418,1.319999933,9.909999847,-2.942500449,40.99999821,Target 1-1,10,3.00%
3,2686,7.476740837,6.486879349,0.169496343,1.360000014,9.899999619,0.981000026,40.94516543,Target 1-1,10,3.00%
3,2689,7.505181313,6.511554718,0.274766356,1.319999933,9.939998627,1.583999907,40.94516625,Target 1-1,10,3.00%
